"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR22350","1. Seizure","Kenya","2019-07-10 00:00:00","4 tusks (82kg) seized in Kwale County, two suspects arrested","https://www.facebook.com/254903014712426/photos/a.570749619794429/1033452573524129/?type=3&theater","Media","https://www.nation.co.ke/counties/kwale/Two-arrested-with-ivory-in-Kwale/3444918-5191654-4n0y83/index.html","","","On Person","","Authorities posed as buyers and arrested the suspects","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR23096","1. Seizure","Kenya","2019-07-30 00:00:00","35 pieces of ivory (182 kg) seized in Makobeni Village, Rabai - 2 suspects arrested","https://www.the-star.co.ke/news/2019-07-30-ivory-worth-sh18-million-recovered-in-kilifi-two-suspects-arrested/","Media","https://www.standardmedia.co.ke/article/2001336052/kws-officers-arrest-two-suspects-with-sh18m-ivory-consignment","","","In Premises (either domestic or business)","Other","The 35 pieces of ivory were found buried underground at one of the suspects residences.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR23115","1. Seizure","Kenya","2019-08-02 00:00:00","14 kg of ivory seized near Nakuru - 2 suspects arrested","http://www.xinhuanet.com/english/2019-08/02/c_138279066.htm","Media","","","Land - Vehicle","","","The two ivory traffickers were riding on a motocycle when they were arrested","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR23625","1. Seizure","Kenya","2019-05-15 00:00:00","9 ivory pieces (8.5kg) seized in Mombasa (Kenya)","https://www.standardmedia.co.ke/article/2001326574/ivory-trade-suspects-to-be-detained-for-2-months","Media","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_25.pdf","","Land - Vehicle","Inside Vehicle","Amongst other goods","Elephant tusks were discovered  in white 50kg sacks containing dry maize and were transported by bus.","","Charged - Bail refused","2","","","","","","",""
"MOR23641","1. Seizure","Kenya","2019-08-14 00:00:00","1 ivory bangle (0.085kg) seized at Jomo Kenyatta Airport - 1 female suspect arrested","https://www.capitalfm.co.ke/news/2019/08/frenchwoman-arrested-at-jkia-over-possession-of-ivory-bangle-due-in-court/","Media","https://nairobinews.nation.co.ke/news/frenchwoman-fined-sh1-million-after-being-arrested-with-ivory-bangle-at-jkia
","","Air","On Person","Specimen's appearance modified","The suspect was wearing the ivory bangle upon discovered by the airport officials and seized.","Routine Inspection","Conviction - court fine","1","1","","1000000","KES Kenyan Shilling","9795.73","12","Months"
"MOR23643","1. Seizure","Kenya","2019-08-18 00:00:00","1 ivory bangle (0.025g) seized at Jomo Kenyatta Airport, 1 female suspect arrested","https://www.nation.co.ke/news/Spanish-woman-arrested-at-JKIA-with-ivory-bangle/1056-5240964-14ahfk7z/index.html","Media","https://nairobinews.nation.co.ke/news/ireland-updates-travel-advisory-to-kenya-after-double-sh1m-jkia-ivory-fines","","Air","On Person","","Woman was wearing the bangle","Routine Inspection","Conviction - court fine","1","1","","1000000","KES Kenyan Shilling","9796.76953125","",""
"MOR24210","1. Seizure","Kenya","2019-08-10 00:00:00","100kg tusks seized in Nyandarua County, Kenya - 1 arrested, 1 escaped","https://www.capitalfm.co.ke/news/2019/08/one-arrested-as-detectives-posing-as-customers-recover-100kgs-of-ivory/","Media","https://twitter.com/DCI_Kenya/status/1160443078102138880
","","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR24230","1. Seizure","Kenya","2019-08-23 00:00:00","6 elephant Tusks (17.5 kg) seized on A2 Road, Maritati - 2 suspects arrested","https://twitter.com/DCI_Kenya/status/1165247113430818816","Government Report","https://www.capitalfm.co.ke/news/2019/08/six-pieces-of-elephant-tusks-weighing-17-5-kgs-scaling-machine-intercepted-in-meru/
","","Land - Vehicle","Inside Vehicle","","The seized 6 elephant tusks were inside the Toyota Probox","Operation","Confiscation & arrest","","","","","","","",""
"MOR25169","1. Seizure","Kenya","2019-09-22 00:00:00","5 tusks & 1 rhino horn siezed in Kaplong Trading Centre & Litein - 3 arrested","https://mobile.nation.co.ke/counties/Kericho-police-seize-ivory--rhino-horn-/1950480-5284432-h9h6my/index.html","Media","","","","","","","Operation","Confiscation & arrest","","","","","","","",""
"MOR25170","1. Seizure","Kenya","2019-09-05 00:00:00","21 tusks (72kg) seized in Alem Area, Ripko - 5 suspects arrested","https://twitter.com/DCI_Kenya/status/1169866875339018241","Government Report","https://www.the-star.co.ke/news/2019-09-06-police-nab-21-pieces-of-ivory-in-baringo/","","","","","","","Confiscation & arrest","","","","","","","",""
