Longitude,Latitude,Number,nam,BUFF_DIST
26.737969,-27.982298,3.000000,WELKOM,1
26.217255,-29.118326,3.000000,Mangaung,1
31.266000,-29.366965,4.000000,Gledhow,1
31.996991,-27.133034,3.000000,,0
31.993484,-27.134101,3.000000,,0
31.464220,-23.928612,2.000000,,0
23.793032,-26.133675,1.000000,Morokweng,1
24.177029,-26.609827,1.000000,Ganyesa,1
28.100784,-26.175844,3.000000,Hillbrow,1
18.511559,-34.036709,1.000000,CAPE TOWN,1
28.047304,-26.204103,2.000000,Hillbrow,1
30.895824,-28.530554,2.000000,,0
31.464220,-23.928612,2.000000,,0
31.765827,-24.384226,2.000000,,0
31.008282,-22.739235,1.000000,,0
28.231649,-26.130831,1.000000,Kempton Park,1
28.231649,-26.130831,1.000000,Kempton Park,1
22.937506,-30.559483,1.000000,,0
23.793032,-26.133675,1.000000,Morokweng,1
28.231649,-26.130831,1.000000,Kempton Park,1
28.231649,-26.130831,1.000000,Kempton Park,1
22.937506,-30.559483,5.000000,,0
28.231649,-26.130831,1.000000,Kempton Park,1
29.202778,-26.516111,5.000000,SECUNDA,1
31.076880,-23.865640,4.000000,Lulekani,1
